scanned_at,product_id,name,site,url,price,currency,in_stock,status,method,note
2026-09-22T21:59:30+00:00,amazon-magsafe-kilif,Amazon MagSafe Kilif,amazon.com.tr,https://www.amazon.com.tr/dp/B0CHX3QBCH,,TRY,,parse_failed,browser/bulunamadi,fiyat bulunamadi - siteye ozel secici gerekebilir
2026-09-22T21:59:30+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,trendyol.com,https://www.trendyol.com/besafe/izi-turn-b-i-size-oto-koltugu-0-18-kg-anthracite-mesh-p-346523972,43500.00,TRY,1,ok,http/jsonld,chrome116
2026-09-22T22:39:53+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,3 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-23T09:00:17+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,3 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-23T10:55:56+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,3 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-23T16:16:13+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,3 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-23T21:11:47+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,1 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-24T11:15:01+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,3 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-24T16:38:34+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,1 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-24T21:14:18+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,1 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
2026-09-25T11:20:18+00:00,besafe-izi-turn-b-i-size,BeSafe iZi Turn B i-Size,hepsiburada.com,https://www.hepsiburada.com/besafe-izi-turn-b-i-size-0-18kg-oto-koltugu-metallic-melange-p-HBCV00001FNPVQ,43424.25,TRY,1,ok,arama/hepsiburada.com,1 teklif | BeSafe Besafe Izi Turn B i-Size 0-18kg Oto Koltuğu Metallic Melange
